"",smp_1,smp_2,smp_3,smp_4,smp_5,smp_6,smp_7,smp_8,smp_9,smp_10
Fusobacterium_mortiferum,0,0,0,0,0,0,0,0,0,0
Fusobacterium_necrophorum,0,0,0,0,0,0,0,0,0,0
Gabonibacter_massiliensis,0,0,0,0,0,0,0,0,0,0
Gluconobacter_cerinus,0,0,0,0,0,0,0,0,0,0
Gordonibacter_pamelaeae,0,0,0,0,0,0,0,0,0,0
Gymnodinium_aureolum,0,0,0,0,0,0,0,0,0,0
Haemophilus_parahaemolyticus,0,0,0,0,0,0,0,0,0,0
Haemophilus_sputorum,0,0,0,0,0,0,0,0,0,0
Holdemania_filiformis,0,0,0,0.888,0,0.968,0,0,0,0
Ihubacter_massiliensis,0,0,0,0,0,1.863,0,0,0,0
Ileibacterium_valens,0,0,0,0,0,0,0,0,0,0
Intestinimonas_butyriciproducens,0,2.595,0,0,0,0,0,0,0,0
Intestinimonas_sp.,0,0,0,0,0,0,0,0,0,0
Joostella_marina,0,0,0,0,0,0,0,0,0,0
Lachnoclostridium_phocaeense,0,0,0,0,0,2.539,0,0,0,0
Lachnospiraceae_bacterium,0,0,0.734,0.828,0,0,0,0,3.834,0
Lactobacillus_delbrueckii,0,0,0,0,0,0,0,0,0,0
Lactobacillus_mucosae,0,0,0,0,0,0,0,0,0,0
Lactobacillus_vaginalis,0,0,0,0,0,0,0,0,0,0
Leptotrichia_sp.,0,0,0,0,0,0,0,0,0,0
Massiliomicrobiota_timonensis,0,0.901,0,0,0,0.731,0,0,0,0
Megasphaera_micronuciformis,0,0,0,0,0,0,0,0,0,0
Micromonas_commoda,0,0,0,0,0,0,0,0,0,0
Mobiluncus_curtisii,0,0,0,0,0,0,0,0,0,0
Monocercomonoides_sp.,0,0,0,0,0,0,0,0,0,0
Mordavella_sp.,0,0,0,0,0,0,0,0,0,0
Murdochiella_asaccharolytica,0,0,0,0,0,0,0,0,0,0
Murdochiella_vaginalis,0,0,0,0,0,0,0,0,0,0
Myrothecium_gramineum,0,0,0,0,0,0,0,0,0,0
Myrothecium_sp.,0,0,0,0,0,0,0,0,0,0
Negativicoccus_succinicivorans,0,0,0,0,0,0,0,0,0,0
Nephroselmis_pyriformis,0,0,0,0,0,0,0,0,0,0
Odoribacter_laneus,0,0,0,0,0,0,0,0,0,0
Odoribacter_splanchnicus,0,0,0,0.821,1.466,0.559,0.74,3.284,3.486,0
Oryza_sativa,0,0,0,0,0,0,0,0,0,0
Oxalobacter_formigenes,0,0,0,0,0,0,0,0,0,0
Parabacteroides_goldsteinii,0,0,0,0,0,0,0,0,2.906,0
Parabacteroides_johnsonii,3.765,0,0,1.876,0,0,0,0,0,0
Parabacteroides_merdae,0,0,0,0,0.388,0.343,1.014,3.601,0,0
Paraphaeosphaeria_neglecta,0,0,0,0,0,0,0,0,0,0
Paraprevotella_xylaniphila,0,0,0,0,0,0,0,0,0,0
Parasutterella_excrementihominis,0,0,0,0,0,0,0,0,0,0
Peptococcus_niger,0,0,0,0,0,0,0,0,0,0
Peptoniphilus_coxii,0,0,0,0,0,0,0,0,0,0
Peptoniphilus_lacrimalis,0,0,0,0,0,0,0,0,0,0
Peptoniphilus_timonensis,0,0,0,0,0,0,0,0,0,0
Peptoniphilus_urinimassiliensis,0,0,0,0,0,0,0,0,0,0
Peptostreptococcus_anaerobius,0,0,0,0,0,0,0,0,0,0
Phalacroma_mitra,0,0,0,0,0,0,0,0,0,0
Polycyclovorans_algicola,0,0,0,0,0,0,0,0,0,0
Porphyromonas_asaccharolytica,0,0,0,0,0,0,0,0,0,0
Porphyromonas_bennonis,0,0,0,0,0,0,0,0,0,0
Porphyromonas_gingivalis,0,0,0,0,0,0,0,0,0,0
Porphyromonas_somerae,0,0,0,0,0,0,0,0,0,0
Prevotella_bergensis,0,0,0,0,0,0,0,0,0,0
