Sample,Species,exp_16s,cov1_cm,cov2_tp
smp_1,Paraprevotella_xylaniphila,0,C,1
smp_1,Parasutterella_excrementihominis,0,C,1
smp_1,Peptococcus_niger,0,C,1
smp_1,Peptoniphilus_coxii,0,C,1
smp_1,Peptoniphilus_lacrimalis,0,C,1
smp_1,Peptoniphilus_timonensis,0,C,1
smp_1,Peptoniphilus_urinimassiliensis,0,C,1
smp_1,Peptostreptococcus_anaerobius,0,C,1
smp_1,Phalacroma_mitra,0,C,1
smp_1,Polycyclovorans_algicola,0,C,1
smp_1,Porphyromonas_asaccharolytica,0,C,1
smp_1,Porphyromonas_bennonis,0,C,1
smp_1,Porphyromonas_gingivalis,0,C,1
smp_1,Porphyromonas_somerae,0,C,1
smp_1,Prevotella_bergensis,0,C,1
smp_1,Prevotella_bivia,0,C,1
smp_1,Prevotella_buccae,0,C,1
smp_1,Prevotella_buccalis,0,C,1
smp_1,Prevotella_colorans,0,C,1
smp_1,Prevotella_copri,0,C,1
smp_1,Prevotella_denticola,0,C,1
smp_1,Prevotella_disiens,0,C,1
smp_1,Prevotella_histicola,0,C,1
smp_1,Prevotella_melaninogenica,0,C,1
smp_1,Prevotella_oralis,0,C,1
smp_1,Prevotella_shahii,0,C,1
smp_1,Prevotella_stercorea,0,C,1
smp_1,Prevotella_timonensis,0,C,1
smp_1,Prevotellaceae_bacterium,0,C,1
smp_1,Pseudaeromonas_sharmana,0,C,1
smp_1,Pyramidobacter_piscolens,0,C,1
smp_1,Rikenella_microfusus,0,C,1
smp_1,Rikenella_sp.,0,C,1
smp_1,Robinsoniella_peoriensis,0,C,1
smp_1,Roseburia_intestinalis,0,C,1
smp_1,Ruminococcaceae_bacterium,0,C,1
smp_1,Ruminococcus_bicirculans,0,C,1
smp_1,Ruminococcus_champanellensis,0,C,1
smp_1,Ruminococcus_lactaris,0,C,1
smp_1,Ruminococcus_sp.,0,C,1
smp_1,Sanguibacteroides_justesenii,0,C,1
smp_1,Scapharca_broughtonii,0,C,1
smp_1,Scardovia_wiggsiae,0,C,1
smp_1,Sellimonas_intestinalis,0,C,1
smp_1,Sneathia_amnii,0,C,1
smp_1,Spirochaeta_perfilievii,0,C,1
smp_1,Spirochaeta_psychrophila,0,C,1
smp_1,Streptococcus_agalactiae,0,C,1
smp_1,Streptococcus_mutans,0,C,1
smp_1,Streptococcus_salivarius,0,C,1
smp_1,Streptococcus_sobrinus,0,C,1
smp_1,Strombidium_paracapitatum,0,C,1
smp_1,Succinatimonas_hippei,0,C,1
smp_1,Sutterella_sp.,0,C,1
smp_1,Sutterella_wadsworthensis,0,C,1
smp_1,Tannerella_forsythia,0,C,1
smp_1,Tausonia_sp.,0,C,1
smp_1,Veillonella_magna,0,C,1
smp_1,Weissella_diestrammenae,0,C,1
smp_1,[Clostridium]_aldenense,0,C,1
smp_1,[Clostridium]_colinum,0,C,1
smp_1,[Clostridium]_glycyrrhizinilyticum,0,C,1
smp_1,[Clostridium]_hylemonae,0,C,1
smp_1,[Clostridium]_leptum,0,C,1
smp_1,[Clostridium]_scindens,0,C,1
smp_1,[Clostridium]_spiroforme,0,C,1
smp_10,Absiella_argi,0,C,5
smp_10,Absiella_dolichum,0,C,5
smp_10,Acinetobacter_sp.,0,C,5
smp_10,Acinetobacter_ursingii,0,C,5
smp_10,Actinomyces_graevenitzii,0,C,5
smp_10,Actinotignum_schaalii,0,C,5
smp_10,Akkermansia_muciniphila,0,C,5
smp_10,Alistipes_finegoldii,0,C,5
smp_10,Alistipes_indistinctus,0,C,5
smp_10,Alistipes_inops,0,C,5
smp_10,Alistipes_obesi,0,C,5
smp_10,Alistipes_sp.,0,C,5
smp_10,Anaerococcus_hydrogenalis,0,C,5
smp_10,Anaerococcus_vaginalis,0,C,5
smp_10,Anaerofustis_stercorihominis,0,C,5
smp_10,Anaeroglobus_geminatus,0,C,5
smp_10,Anaerostipes_caccae,3.573,C,5
smp_10,Anaerostipes_rhamnosivorans,0,C,5
smp_10,Anaerotruncus_sp.,0,C,5
smp_10,Atopobium_vaginae,0,C,5
smp_10,bacterium_YE57,0,C,5
smp_10,Bacteroidaceae_bacterium,0,C,5
smp_10,Bacteroides_barnesiae,0,C,5
smp_10,Bacteroides_caecigallinarum,0,C,5
smp_10,Bacteroides_clarus,0,C,5
smp_10,Bacteroides_coprocola,0,C,5
smp_10,Bacteroides_coprophilus,0,C,5
smp_10,Bacteroides_eggerthii,0,C,5
smp_10,Bacteroides_finegoldii,0,C,5
smp_10,Bacteroides_massiliensis,0,C,5
smp_10,Bacteroides_sartorii,0,C,5
smp_10,Bacteroides_sp.,0,C,5
smp_10,Bacteroides_stercoris,0,C,5
smp_10,Bacteroides_vulgatus,0.572,C,5
smp_10,Barnesiella_viscericola,0,C,5
smp_10,Bifidobacterium_animalis,0,C,5
smp_10,Bifidobacterium_bifidum,1.313,C,5
smp_10,Bifidobacterium_pullorum,0,C,5
smp_10,Blautia_caecimuris,1.221,C,5
smp_10,Blautia_faecis,0,C,5
smp_10,Blautia_hydrogenotrophica,0,C,5
smp_10,Blautia_sp.,0,C,5
smp_10,Blautia_stercoris,0,C,5
smp_10,Brachyspira_aalborgi,0,C,5
smp_10,Burkholderia_sp.,0,C,5
smp_10,Butyricicoccus_pullicaecorum,0,C,5
smp_10,Butyrivibrio_crossotus,0,C,5
smp_10,Campylobacter_concisus,0,C,5
smp_10,Campylobacter_gracilis,0,C,5
smp_10,Campylobacter_hominis,0,C,5
smp_10,Campylobacter_ureolyticus,0,C,5
smp_10,Candidatus_Babela,0,C,5
smp_10,Candidatus_Fonsibacter,0,C,5
smp_10,Candidatus_Nanopelagicus,0,C,5
smp_10,Candidatus_Stoquefichus,0,C,5
smp_10,Catenibacillus_scindens,0,C,5
smp_10,Christensenella_minuta,0,C,5
smp_10,Chryseobacterium_chaponense,0,C,5
smp_10,Cladosporium_iridis,0,C,5
smp_10,Cloacibacillus_evryensis,0,C,5
smp_10,Clostridiaceae_bacterium,0,C,5
smp_10,Clostridiales_bacterium,0,C,5
smp_10,Clostridium_butyricum,0,C,5
smp_10,Clostridium_paraputrificum,0,C,5
smp_10,Clostridium_perfringens,0,C,5
smp_10,Clostridium_tertium,0,C,5
smp_10,Colletotrichum_nicotianae,0,C,5
smp_10,Collinsella_sp.,0,C,5
smp_10,Collinsella_stercoris,0,C,5
smp_10,Collinsella_tanakaei,0,C,5
smp_10,Coprobacter_secundus,0,C,5
smp_10,Coprococcus_eutactus,0,C,5
smp_10,Corynebacterium_argentoratense,0,C,5
smp_10,Corynebacterium_aurimucosum,0,C,5
smp_10,Corynebacterium_durum,0,C,5
smp_10,Daucus_carota,0,C,5
smp_10,Desulfovibrio_ferrireducens,0,C,5
